workload,ipc_no,ipc_adaptive,speedup_adaptive,accuracy_overall_adaptive,coverage_llc_adaptive,accuracy_l1d_adaptive,accuracy_l2c_adaptive,pmp_L1D_Useful,pmp_L1D_Useless,pmp_L2C_Useful,pmp_L2C_Useless,ipc_default,speedup_default,accuracy_overall_default,coverage_llc_default,accuracy_l1d_default,accuracy_l2c_default
ya_warmup5000000_sim20000000-458.sjeng-31B,1.3695,1.3641,0.9961,0.0353,0.0519,0.0872,0.0349,30,314,1640,45353,1.3653,0.9969,0.0509,0.0485,0.1014,0.0283
ya_warmup5000000_sim20000000-437.leslie3d-273B,1.9700,2.9810,1.5132,0.9738,0.8613,0.9649,0.9776,21654,787,50519,1156,2.9285,1.4866,0.9105,0.8229,0.8931,0.9658
ya_warmup5000000_sim20000000-400.perlbench-41B,1.4940,1.4770,0.9886,0.1708,0.4893,0.1932,0.1708,102,426,39053,189614,1.4535,0.9729,0.1685,0.3479,0.2032,0.1596
ya_warmup5000000_sim20000000-464.h264ref-57B,2.4622,2.6818,1.0892,0.4365,0.7868,0.8000,0.4210,2528,632,31109,42783,2.6552,1.0784,0.5144,0.7102,0.6421,0.3933
ya_warmup5000000_sim20000000-429.mcf-192B,0.0917,0.1246,1.3583,0.3635,0.5938,0.0000,0.3635,0,0,983264,1721400,0.1065,1.1607,0.0787,0.1857,0.0120,0.0789
ya_warmup5000000_sim20000000-453.povray-252B,2.3813,2.3882,1.0029,0.4014,0.5773,0.2647,0.6644,370,1028,483,244,2.3737,0.9968,0.2835,0.5223,0.2812,0.7767
ya_warmup5000000_sim20000000-444.namd-23B,3.5470,3.6413,1.0266,0.7503,0.8992,0.5903,0.8117,719,499,2578,598,3.6433,1.0272,0.4860,0.8788,0.4714,0.7863
ya_warmup5000000_sim20000000-458.sjeng-1088B,1.3554,1.3503,0.9963,0.0267,0.0463,0.0771,0.0264,27,323,1227,45331,1.3509,0.9967,0.0377,0.0370,0.0667,0.0223
ya_warmup5000000_sim20000000-434.zeusmp-10B,2.7227,3.2322,1.1871,0.2281,0.7017,0.0879,0.4642,7665,79575,24052,27761,3.2425,1.1909,0.1439,0.6554,0.1261,0.3521
ya_warmup5000000_sim20000000-433.milc-127B,0.4367,0.4518,1.0344,0.5105,0.1994,0.9975,0.1447,88938,224,17171,101520,0.4400,1.0075,0.9421,0.1778,0.9424,0.9360
ya_warmup5000000_sim20000000-447.dealII-3B,2.8293,2.8335,1.0015,0.9021,0.9143,0.9033,0.8592,9073,971,244,40,2.8309,1.0005,0.7387,0.8698,0.7386,0.8140
ya_warmup5000000_sim20000000-450.soplex-247B,0.3247,0.4175,1.2859,0.5383,0.5354,0.9822,0.4850,76012,1374,312836,332146,0.4053,1.2485,0.5700,0.4718,0.7514,0.4151
ya_warmup5000000_sim20000000-401.bzip2-7B,1.9872,2.0866,1.0500,0.7189,0.7704,0.9714,0.4460,65902,1939,28004,34787,2.0736,1.0435,0.7431,0.6209,0.8363,0.4365
ya_warmup5000000_sim20000000-416.gamess-875B,2.8097,2.8176,1.0028,0.8471,0.7335,0.2105,0.9403,16,60,488,31,2.8165,1.0024,0.2330,0.6572,0.2037,0.9519
ya_warmup5000000_sim20000000-401.bzip2-277B,2.0005,1.5303,0.7650,0.1113,0.2484,0.1364,0.1112,9,57,72141,576332,1.8367,0.9181,0.1703,0.1499,0.1347,0.1703
ya_warmup5000000_sim20000000-482.sphinx3-1100B,1.1681,1.9154,1.6398,0.6216,0.8461,0.9812,0.5068,75352,1445,121954,118678,1.8644,1.5961,0.6762,0.7829,0.8609,0.4611
ya_warmup5000000_sim20000000-454.calculix-104B,1.9375,1.9376,1.0000,1.0000,0.4545,1.0000,1.0000,4,0,16,0,1.9376,1.0000,1.0000,0.4545,1.0000,1.0000
ya_warmup5000000_sim20000000-481.wrf-455B,1.8233,2.9564,1.6214,0.9508,0.8942,0.9212,0.9797,51170,4380,55926,1159,2.9958,1.6430,0.9355,0.9177,0.9392,0.5607
